"","CD274-201","CD274-202","CD274-203","CD274-204","CD274-205","CNIH4-201","CNIH4-202","CNIH4-203","CNIH4-204","CNIH4-205","CNIH4-206","CNIH4-207","CNIH4-208"
"HOA7818A99",7.33660086568291,7.8386097296438,7.99880655952682,7.8453946980598,7.88721209514681,7.75985237363431,8.35055788091126,8.13740384920708,8.13783002956439,8.22859739763577,7.80108160106439,7.82110514095775,8.26385840209587
"HOA7818A98",7.95363953781012,7.89391123446196,7.63890823487492,7.88727966911959,7.54107019687253,8.13296628294847,8.02409721827465,8.23168273620822,8.01808033603225,8.13126042060166,8.24818096055307,7.10157229046982,8.00491040098494
"HOA7818A97",7.89519143888143,8.03422721041355,8.21526465115705,8.15087964302551,8.09287073306784,7.73712042633903,7.81511660380909,8.77663423083891,7.85101536665206,8.04299702677083,7.75506274019702,7.10157229046982,7.92747417061188
"HOA7818A96",7.76802375029658,7.96877349713884,8.09825753154907,7.96964007462906,8.23917404393871,7.78177500790886,7.87101586972465,7.76499130988345,7.89434273241261,7.97999177215583,7.78885871985147,7.10157229046982,7.67762185729943
"HOA7818A95",7.71935638701051,7.85231650516924,7.7324754915607,7.93777427751612,7.91611848230144,8.48106357777198,8.05987820670848,7.10157229046982,8.31273115217502,8.22435006190825,8.32366408280286,8.6515904750037,8.24535463744482
"HOA7818A114",8.07652658347155,7.74347389530641,7.65894790354989,7.82026423235372,7.68131553174909,7.31494433166384,7.79539657416929,7.10157229046982,7.68931840506346,8.01102369465804,7.77218877088242,7.10157229046982,7.94889722039288
"HOA7818A113",8.08526170721704,7.84477567946822,7.71496663270463,7.8453946980598,7.97076534430497,8.58521608833385,8.10089476875337,7.9106258674069,8.08667335697633,8.04299702677083,8.35934704163449,8.10912368493168,8.15313500747893
"HOA7818A112",8.57904558611119,8.57596014996143,8.55993128426876,8.51327664282072,8.44743136052445,8.22320126455298,8.08744042745771,7.76499130988345,8.10621085039001,8.26599142998945,8.28665302721017,8.78520550264749,8.26202401353968
"HOA7818A111",7.67414403280477,8.02434477399858,7.81319793991836,8.00523748156597,7.41294265429478,8.26523464477302,8.37581455883985,8.39624896380371,8.11899549568035,7.97659348863569,8.28443181619747,8.10912368493168,8.18954922367591
"HOA7818A110",7.71935638701051,7.64956718884718,7.36084565848232,7.66884016977836,7.88721209514681,7.67610915943754,8.00933541753707,7.76499130988345,7.83289867571493,7.9708966124621,7.75070574492181,7.10157229046982,7.92747417061188
"HOA7818A109",8.54965482260573,8.03758823580292,7.88506802344441,8.01512229622971,7.88721209514681,8.19831305738599,7.48039874351282,7.9106258674069,8.13159637027547,8.23703513202621,8.11695216468804,7.10157229046982,8.13013464366845
"HOA7818A108",7.76130541940391,7.7743816193871,7.59628401147376,7.86365327464718,7.54107019687253,8.06240118565645,7.90594165177858,7.10157229046982,7.85989744584647,8.00228014215303,8.08712968126478,7.10157229046982,8.02673163639897
"HOA7818A107",8.17598392636487,7.86855278210144,7.79785573717481,7.64353945695352,7.41294265429478,8.3167191398544,8.4340105016143,7.10157229046982,8.20945470551589,8.18877367701204,8.27773759679505,7.10157229046982,8.24908414290126
"HOA7818A106",7.61611897781488,7.59698140991835,7.87127820187025,7.69300698245551,7.10157229046982,7.50916422038396,7.87101586972465,7.10157229046982,7.70079509681954,8.02074808915055,7.74631733244062,7.10157229046982,7.92747417061188
"HOA7818A105",7.73366877495606,7.62238706059702,7.46775012979045,7.62596147329498,7.63881924371571,7.91778294947139,7.88869134357138,8.31738138814753,8.03226054886243,8.02396380333511,8.13801908335949,8.50018383756835,8.00736433191058
"HOA7818A104",8.20302980791406,8.07342133571545,8.17791965171188,8.08569595885865,8.02181698023892,8.3111302721407,7.94737765836889,7.9106258674069,8.11899549568035,8.05852989777976,7.89157856908951,7.10157229046982,8.08000300913703
"HOA7818A103",7.40477022575861,7.64856715567671,7.36084565848232,7.64353945695352,7.63881924371571,7.82348563856329,7.62241681031382,8.53804921564004,7.93521269000512,8.02503289069548,7.78885871985147,7.82110514095775,7.86512690458484
"HOA7818A102",7.37286024188165,7.5868850520521,7.43599416162618,7.62596147329498,7.88721209514681,7.74859284261638,7.57993749258054,7.76499130988345,7.94312390579911,7.98224913446733,7.74631733244062,8.10912368493168,7.80963805130311
"HOA7818A101",7.65821193472519,8.01978690638211,8.17791965171188,8.03453743295552,7.85708910690214,7.47047459088963,8.15900214192853,7.10157229046982,7.91096410614371,7.95588578006945,7.75506274019702,7.10157229046982,7.91652828618319
"HOA7818A100",8.46230208585879,8.52985703773625,8.83695752771861,8.6238773334516,8.9361697863014,7.93524541834173,8.32988746798744,7.10157229046982,8.0599083857028,8.1434334027704,8.16619521971355,7.10157229046982,8.07775581574055
"HOA7812A99",8.59735212436868,8.97471613648936,8.61099996094417,8.76023145750422,8.77156035539624,8.60236713709713,7.91441591259327,8.60255407538564,8.61095498552994,8.30825104765767,8.47621083484588,8.78520550264749,8.32769540164063
"HOA7812A98",7.10157229046982,7.64100500516551,7.61805463110305,7.66054006402834,7.10157229046982,7.88156054507284,7.85288501859492,7.10157229046982,8.03925956482527,8.02074808915055,7.72388050608245,7.82110514095775,7.88555611000617
"HOA7812A97",8.42950973536923,8.2633665071146,8.05551683665354,8.31199306769307,8.64759725681314,8.53211421566614,7.9392719200575,8.13740384920708,8.46116685367691,8.22944457152285,8.4271682052788,8.10912368493168,8.29806744103094
"HOA7812A96",8.56578277707469,8.70590094917605,8.64177748963111,8.77418550821691,8.86212889063616,8.74610204273205,8.45270951522317,8.53804921564004,8.39201400072157,8.07277178147637,8.60799449134498,7.10157229046982,8.15725405407481
"HOA7812A95",8.76585788444386,8.61216576115938,8.61099996094417,8.72701414718175,8.87298534481887,8.36565948496289,8.55009269352807,8.46950692369873,8.47446898909758,8.1627536709627,8.42135963154,8.50018383756835,8.30511910224277
"HOA7812A94",8.51945781296245,8.43132161062189,8.18739863363614,8.41908744488863,8.58019841268251,8.04003723229293,8.38079156768223,7.76499130988345,8.20945470551589,8.055446396037,8.16113752581678,8.50018383756835,8.09115108552844
"HOA7812A93",8.19921435834824,7.92778992320148,7.78214069602791,7.94317857121949,8.15849098515756,8.09132428456726,8.20173319217298,7.10157229046982,7.842017212911,7.94057515224054,7.96553550048868,8.90527964030129,7.85917927869115
"HOA7812A92",7.71935638701051,7.63896961830585,7.65894790354989,7.73845041153182,7.10157229046982,7.70130217639775,7.60866826467206,7.10157229046982,8.00364752816461,8.08379607717804,7.78885871985147,7.10157229046982,7.93826178365769
"HOA7812A91",7.65006359213427,7.59919616457382,7.54945080175392,7.6850685168064,7.10157229046982,7.40305217443909,7.90594165177858,7.10157229046982,7.67760033233322,8.04716757576884,7.88447156900747,7.82110514095775,7.96457743692846
"HOA7812A90",8.10671812160329,7.65995427870957,7.6969114941318,7.66054006402834,7.99670071284715,7.77090979834157,8.22529134189849,7.10157229046982,7.86866750571929,7.99455031606089,7.74189685466971,7.10157229046982,7.95415967093882
"HOA7812A89",7.86121560402103,7.83532261699159,7.59628401147376,7.97482517689502,7.97076534430497,8.6108452745691,8.20767874214186,8.53804921564004,8.31273115217502,8.06669757212256,8.19596541932561,7.82110514095775,7.9515329790729
"HOA7812A88",8.62805618112453,8.67097807504024,8.51322567400994,8.78797704285131,8.75973956921443,8.09840460413935,8.55852846872532,7.9106258674069,8.13159637027547,8.1322027572496,8.24122872072585,7.10157229046982,8.14899697808865
"HOA7812A87",7.99833426483404,8.18179860746361,8.14887478715805,8.20376546954261,8.02181698023892,8.44726584512851,8.2482738510675,7.10157229046982,8.29188690645691,8.1554424781566,8.10081284896223,7.10157229046982,8.14483973553161
"HOA7812A86",7.74069737454555,7.62133230371767,7.7324754915607,7.57906638406791,7.54107019687253,8.00924106074347,7.75403108035343,7.10157229046982,8.11899549568035,8.03564754062231,8.02116510733296,8.10912368493168,7.85917927869115
"HOA7812A85",7.87840689994924,7.82350356986934,7.74948247915863,7.89880569311568,7.720759110069,7.96070318512072,7.59452031908446,8.31738138814753,8.0599083857028,8.03985526195927,7.92610638937265,8.6515904750037,7.98500219037424
"HOA7812A84",8.82700089228208,8.78084995854731,8.78441354020107,8.83941474844823,8.8511742688679,8.55010025390727,8.54159179519393,8.39624896380371,8.40150383813354,8.32603918072666,8.54580874723407,8.32390689977824,8.38119298519643
"HOA7812A83",8.09819950056275,7.89019825602391,7.84285627610536,7.9591646618165,8.04618021693569,7.96070318512072,8.22529134189849,7.10157229046982,8.16233806420105,7.99897653641535,7.9591039258959,7.10157229046982,8.00244893158568
"HOA7812A82",8.42647730716887,8.20356119161374,8.1389808710373,8.24248475118173,7.91611848230144,8.15307162565584,7.85288501859492,7.76499130988345,8.2208680201852,8.05235147249669,8.16366990854922,7.10157229046982,8.00981078616795
